mul;add;rot;inv;blocks;threads;energy
0;537500;0;0;8;736;0,016466268
0;537500;0;0;8;752;0,016444501
0;537500;0;0;8;768;0,016512663
0;537500;0;0;8;784;0,01650584
0;537500;0;0;8;800;0,016591616
0;537500;0;0;8;816;0,016546733
0;537500;0;0;8;832;0,016748705
0;537500;0;0;8;848;0,016856885
0;537500;0;0;8;864;0,016982095
0;537500;0;0;8;880;0,016981603
0;537500;0;0;8;896;0,01712173
0;537500;0;0;8;912;0,017024983
0;537500;0;0;8;928;0,01708333
0;537500;0;0;8;944;0,016967633
0;537500;0;0;8;960;0,01703745
0;537500;0;0;8;976;0,017073855
0;537500;0;0;8;992;0,017166684
0;537500;0;0;8;1008;0,017319213
0;537500;0;0;8;1024;0,017325696
0;537500;0;0;10;16;0,020333524
0;537500;0;0;10;32;0,020136968
0;537500;0;0;10;48;0,017621922
0;537500;0;0;10;64;0,016594734
0;537500;0;0;10;80;0,016156535
0;537500;0;0;10;96;0,015934195
0;537500;0;0;10;112;0,01545063
0;537500;0;0;10;128;0,015627637
0;537500;0;0;10;144;0,015066271
0;537500;0;0;10;160;0,015118468
0;537500;0;0;10;176;0,015343879
0;537500;0;0;10;192;0,015470049
0;537500;0;0;10;208;0,015395295
0;537500;0;0;10;224;0,014732263
0;537500;0;0;10;240;0,014918211
0;537500;0;0;10;256;0,015252718
0;537500;0;0;10;272;0,015267578
0;537500;0;0;10;288;0,015384826
0;537500;0;0;10;304;0,015625143
0;537500;0;0;10;320;0,015923862
0;537500;0;0;10;336;0,01600864
0;537500;0;0;10;352;0,01628043
0;537500;0;0;10;368;0,016543094
0;537500;0;0;10;384;0,016718285
0;537500;0;0;10;400;0,016593611
0;537500;0;0;10;416;0,016522297
0;537500;0;0;10;432;0,015816642
0;537500;0;0;10;448;0,015810063
0;537500;0;0;10;464;0,015751812
0;537500;0;0;10;480;0,015918242
0;537500;0;0;10;496;0,015746895
0;537500;0;0;10;512;0,015890695
0;537500;0;0;10;528;0,015821529
0;537500;0;0;10;544;0,015918242
0;537500;0;0;10;560;0,015878361
0;537500;0;0;10;576;0,015937825
0;537500;0;0;10;592;0,0159661
0;537500;0;0;10;608;0,016105686
0;537500;0;0;10;624;0,016147278
0;537500;0;0;10;640;0,016177698
0;537500;0;0;10;656;0,016141293
0;537500;0;0;10;672;0,016112166
0;537500;0;0;10;688;0,016227823
0;537500;0;0;10;704;0,016380668
0;537500;0;0;10;720;0,016412085
0;537500;0;0;10;736;0,016481404
0;537500;0;0;10;752;0,016481404
0;537500;0;0;10;768;0,016506838
0;537500;0;0;10;784;0,016514817
0;537500;0;0;10;800;0,016657444
0;537500;0;0;10;816;0,016637995
0;537500;0;0;10;832;0,016801567
0;537500;0;0;10;848;0,016881358
0;537500;0;0;10;864;0,017023009
0;537500;0;0;10;880;0,017058429
0;537500;0;0;10;896;0,017027476
0;537500;0;0;10;912;0,017042437
0;537500;0;0;10;928;0,017004038
0;537500;0;0;10;944;0,017013989
0;537500;0;0;10;960;0,017197614
0;537500;0;0;10;976;0,017248399
0;537500;0;0;10;992;0,017152649
0;537500;0;0;10;1008;0,017276824
0;537500;0;0;10;1024;0,017532856
0;537500;0;0;12;16;0,019268432
0;537500;0;0;12;32;0,019117274
0;537500;0;0;12;48;0,017151718
0;537500;0;0;12;64;0,01603624
0;537500;0;0;12;80;0,015624644
0;537500;0;0;12;96;0,015273562
0;537500;0;0;12;112;0,015377348
0;537500;0;0;12;128;0,01495689
0;537500;0;0;12;144;0,015079071
0;537500;0;0;12;160;0,015190403
0;537500;0;0;12;176;0,01502639
0;537500;0;0;12;192;0,014707337
0;537500;0;0;12;208;0,014964573
0;537500;0;0;12;224;0,015044337
0;537500;0;0;12;240;0,015229287
0;537500;0;0;12;256;0,015507451
0;537500;0;0;12;272;0,015681496
0;537500;0;0;12;288;0,015977222
0;537500;0;0;12;304;0,016341051
0;537500;0;0;12;320;0,016621538
0;537500;0;0;12;336;0,016598598
0;537500;0;0;12;352;0,016246764
0;537500;0;0;12;368;0,015679002
0;537500;0;0;12;384;0,015881473
0;537500;0;0;12;400;0,015795697
0;537500;0;0;12;416;0,015717402
0;537500;0;0;12;432;0,015781235
0;537500;0;0;12;448;0,015795697
0;537500;0;0;12;464;0,015772258
0;537500;0;0;12;480;0,015861909
0;537500;0;0;12;496;0,015741339
0;537500;0;0;12;512;0,015822128
0;537500;0;0;12;528;0,015741838
0;537500;0;0;12;544;0,016116857
0;537500;0;0;12;560;0,015922729
0;537500;0;0;12;576;0,015952288
0;537500;0;0;12;592;0,01593918
0;537500;0;0;12;608;0,016155756
0;537500;0;0;12;624;0,01616174
0;537500;0;0;12;640;0,01611586
0;537500;0;0;12;656;0,016122842
0;537500;0;0;12;672;0,016209615
0;537500;0;0;12;688;0,016272207
0;537500;0;0;12;704;0,016365208
0;537500;0;0;12;720;0,016442506
0;537500;0;0;12;736;0,016448808
0;537500;0;0;12;752;0,016559557
0;537500;0;0;12;768;0,016502686
0;537500;0;0;12;784;0,01658051
0;537500;0;0;12;800;0,016697745
0;537500;0;0;12;816;0,016653345
0;537500;0;0;12;832;0,016794086
0;537500;0;0;12;848;0,016786606
0;537500;0;0;12;864;0,016933223
0;537500;0;0;12;880;0,017001558
0;537500;0;0;12;896;0,017033486
0;537500;0;0;12;912;0,016911779
0;537500;0;0;12;928;0,016994075
0;537500;0;0;12;944;0,017134757
0;537500;0;0;12;960;0,017059891
0;537500;0;0;12;976;0,017089813
0;537500;0;0;12;992;0,017178082
0;537500;0;0;12;1008;0,017209002
0;537500;0;0;12;1024;0,017268953
0;1096500;0;0;2;16;0,093018603
0;1096500;0;0;2;32;0,088563745
0;1096500;0;0;2;48;0,065493499
0;1096500;0;0;2;64;0,052652813
0;1096500;0;0;2;80;0,046553989
0;1096500;0;0;2;96;0,04423305
0;1096500;0;0;2;112;0,041016146
0;1096500;0;0;2;128;0,040518819
0;1096500;0;0;2;144;0,038805473
0;1096500;0;0;2;160;0,03574766
0;1096500;0;0;2;176;0,035675138
0;1096500;0;0;2;192;0,035870404
0;1096500;0;0;2;208;0,034907873
0;1096500;0;0;2;224;0,033949711
0;1096500;0;0;2;240;0,034090542
0;1096500;0;0;2;256;0,033929735
0;1096500;0;0;2;272;0,034065572
0;1096500;0;0;2;288;0,032959268
0;1096500;0;0;2;304;0,033770926
0;1096500;0;0;2;320;0,033178138
0;1096500;0;0;2;336;0,033471092
0;1096500;0;0;2;352;0,033233072
0;1096500;0;0;2;368;0,032715234
0;1096500;0;0;2;384;0,033455305
0;1096500;0;0;2;400;0,033642947
0;1096500;0;0;2;416;0,032967891
0;1096500;0;0;2;432;0,032813151
0;1096500;0;0;2;448;0,033420136
0;1096500;0;0;2;464;0,033804809
0;1096500;0;0;2;480;0,033272761
0;1096500;0;0;2;496;0,033188332
0;1096500;0;0;2;512;0,032616817
0;1096500;0;0;2;528;0,032977012
0;1096500;0;0;2;544;0,0333447
0;1096500;0;0;2;560;0,033915669
0;1096500;0;0;2;576;0,034006138
0;1096500;0;0;2;592;0,033570008
0;1096500;0;0;2;608;0,033213311
0;1096500;0;0;2;624;0,033140373
0;1096500;0;0;2;640;0,032450958
0;1096500;0;0;2;656;0,032844624
0;1096500;0;0;2;672;0,033291245
0;1096500;0;0;2;688;0,033688408
0;1096500;0;0;2;704;0,034033615
0;1096500;0;0;2;720;0,034562666
0;1096500;0;0;2;736;0,034612624
0;1096500;0;0;2;752;0,034190482
0;1096500;0;0;2;768;0,033621815
0;1096500;0;0;2;784;0,03363895
0;1096500;0;0;2;800;0,033434408
0;1096500;0;0;2;816;0,033235792
0;1096500;0;0;2;832;0,033209315
0;1096500;0;0;2;848;0,032654785
0;1096500;0;0;2;864;0,032694252
0;1096500;0;0;2;880;0,032963642
0;1096500;0;0;2;896;0,033286249
0;1096500;0;0;2;912;0,033600483
0;1096500;0;0;2;928;0,033865757
0;1096500;0;0;2;944;0,034290897
0;1096500;0;0;2;960;0,034585646
0;1096500;0;0;2;976;0,034631108
0;1096500;0;0;2;992;0,035038262
0;1096500;0;0;2;1008;0,035343961
0;1096500;0;0;2;1024;0,035510362
0;1096500;0;0;4;16;0,054911592
0;1096500;0;0;4;32;0,052479442
0;1096500;0;0;4;48;0,041261524
0;1096500;0;0;4;64;0,034688786
0;1096500;0;0;4;80;0,03144731
0;1096500;0;0;4;96;0,031253475
0;1096500;0;0;4;112;0,02943202
0;1096500;0;0;4;128;0,028396399
0;1096500;0;0;4;144;0,027369118
0;1096500;0;0;4;160;0,026603537
0;1096500;0;0;4;176;0,026877209
0;1096500;0;0;4;192;0,02657657
0;1096500;0;0;4;208;0,026418759
0;1096500;0;0;4;224;0,025815484
0;1096500;0;0;4;240;0,026398284
0;1096500;0;0;4;256;0,02533606
